,OBJECTID,SITE_NO,DEC_LAT_VA,DEC_LONG_V,LSElevFt,NHDStrmOrd,SiteType,WLElevFt,DTWFt,dtwBin,location,geometry_x,x,y,sim_top,sim_heads,model,WLm,DTWm,LSDm,sim_dtw_top,sim_dtw_lsd,dtw_res_top,dtw_res_lsd,res_wl_el,res_lsd,swgw,model_num,model_name
14,749,461340091561813,46.22772,-91.938521,1056.692993,1,GW,1055.202993,1.49,2,Hydroregion 7,POINT (313888.5011 2588835.888900001),313888.5011,2588835.8889000006,323.1178662355163,321.31606914213944,huc_07030001_domain,321.62587226640005,0.454152,322.08002426639996,1.8017970933768765,735.3769238578604,-1.3476450933768764,-734.9227718578604,0.3098031242606112,733.5751267644836,1,22,huc_07030001_domain
15,750,461341091560111,46.227997,-91.933799,1048.687744,1,GW,1046.937744,1.75,2,Hydroregion 7,POINT (314251.9138999991 2588882.2772),314251.9138999991,2588882.2772000004,323.4116992537031,321.43843318787117,huc_07030001_domain,319.10662437120004,0.5334,319.6400243712,1.9732660658319219,727.2493108121289,-1.439866065831922,-726.7159108121289,-2.3318088166711277,725.276044746297,1,22,huc_07030001_domain
16,751,461341091560113,46.227997,-91.933799,1048.687744,1,GW,1046.327744,2.36,3,Hydroregion 7,POINT (314251.9138999991 2588882.2772),314251.9138999991,2588882.2772000004,323.4116992537031,321.43843318787117,huc_07030001_domain,318.9206963712,0.719328,319.6400243712,1.9732660658319219,727.2493108121289,-1.253938065831922,-726.5299828121289,-2.5177368166711744,725.276044746297,1,22,huc_07030001_domain
17,754,462456091273400,46.4155,-91.459635,1185.531616,1,GW,1169.389116,16.1425,6,Hydroregion 7,POINT (349877.7336000018 2611310.237400001),349877.7336000018,2611310.237400001,366.45156370422046,374.5937262469655,huc_07030001_domain,356.42980255680004,4.920234,361.35003655680003,-8.14216254274504,810.9378897530345,13.062396542745041,-806.0176557530344,-18.16392369016546,819.0800522957795,1,22,huc_07030001_domain
18,755,462456091274111,46.4155,-91.461579,1174.967285,1,GW,1171.947285,3.02,4,Hydroregion 7,POINT (349728.0102999993 2611303.0766),349728.01029999927,2611303.0766000003,363.9879182564007,374.5379760099718,huc_07030001_domain,357.209532468,0.9204960000000001,358.130028468,-10.550057753571139,800.4293089900282,11.470553753571139,-799.5088129900282,-17.328443541971808,810.9793667435993,1,22,huc_07030001_domain
19,756,462456091274113,46.4155,-91.461579,1174.967285,1,GW,1172.307285,2.66,3,Hydroregion 7,POINT (349728.0102999993 2611303.0766),349728.01029999927,2611303.0766000003,363.9879182564007,374.5379760099718,huc_07030001_domain,357.31926046800004,0.810768,358.130028468,-10.550057753571139,800.4293089900282,11.360825753571138,-799.6185409900281,-17.21871554197179,810.9793667435993,1,22,huc_07030001_domain
20,757,462457091273551,46.415778,-91.459913,1171.391113,1,GW,1170.061113,1.33,2,Hydroregion 7,POINT (349854.8739 2611339.973200001),349854.8739,2611339.973200001,365.1185883724476,374.6023834048271,huc_07030001_domain,356.63462724240003,0.405384,357.0400112424,-9.483795032379476,796.7887295951728,9.889179032379475,-796.3833455951727,-17.967756162427065,806.2725246275522,1,22,huc_07030001_domain
21,758,462457091273552,46.415778,-91.459913,1171.391113,1,GW,1170.482022,0.909091,1,Hydroregion 7,POINT (349854.8739 2611339.973200001),349854.8739,2611339.973200001,365.1185883724476,374.6023834048271,huc_07030001_domain,356.7629203056,0.2770909368,357.0400112424,-9.483795032379476,796.7887295951728,9.760885969179476,-796.5116386583727,-17.83946309922709,806.2725246275522,1,22,huc_07030001_domain
22,759,462506091273311,46.418278,-91.459357,1177.49353,1,GW,1175.24353,2.25,3,Hydroregion 7,POINT (349884.4140999988 2611618.8488),349884.4140999988,2611618.8488,364.8420547499897,374.7511494733741,huc_07030001_domain,358.214227944,0.6858000000000001,358.900027944,-9.909094723384385,802.7423805266259,10.594894723384385,-802.0565805266259,-16.53692152937407,812.6514752500102,1,22,huc_07030001_domain
23,760,462506091273313,46.418278,-91.459357,1177.49353,1,GW,1175.12353,2.37,3,Hydroregion 7,POINT (349884.4140999988 2611618.8488),349884.4140999988,2611618.8488,364.8420547499897,374.7511494733741,huc_07030001_domain,358.17765194400005,0.722376,358.900027944,-9.909094723384385,802.7423805266259,10.631470723384385,-802.0200045266258,-16.573497529374038,812.6514752500102,1,22,huc_07030001_domain
24,761,462507091274811,46.418555,-91.463524,1176.804565,1,GW,1174.504565,2.3,3,Hydroregion 7,POINT (349562.1224000007 2611634.2666),349562.1224000007,2611634.2665999997,365.3270405032911,374.6902844421476,huc_07030001_domain,357.988991412,0.70104,358.690031412,-9.363243938856499,802.1142805578523,10.0642839388565,-801.4132405578523,-16.701293030147554,811.4775244967088,1,22,huc_07030001_domain
25,762,462507091274813,46.418555,-91.463524,1176.804565,1,GW,1174.074565,2.73,3,Hydroregion 7,POINT (349562.1224000007 2611634.2666),349562.1224000007,2611634.2665999997,365.3270405032911,374.6902844421476,huc_07030001_domain,357.857927412,0.8321040000000001,358.690031412,-9.363243938856499,802.1142805578523,10.195347938856498,-801.2821765578524,-16.83235703014759,811.4775244967088,1,22,huc_07030001_domain
26,763,462514091273811,46.4205,-91.460746,1168.536865,1,GW,1166.386865,2.15,3,Hydroregion 7,POINT (349765.7104000002 2611859.8025),349765.7104000002,2611859.8025,360.4959964142742,374.824049237188,huc_07030001_domain,355.514716452,0.65532,356.17003645200003,-14.328052822913776,793.712815762812,14.983372822913775,-793.0574957628121,-19.309332785187962,808.0408685857258,1,22,huc_07030001_domain
27,764,462514091273813,46.4205,-91.460746,1168.536865,1,GW,1166.386865,2.15,3,Hydroregion 7,POINT (349765.7104000002 2611859.8025),349765.7104000002,2611859.8025,360.4959964142742,374.824049237188,huc_07030001_domain,355.514716452,0.65532,356.17003645200003,-14.328052822913776,793.712815762812,14.983372822913775,-793.0574957628121,-19.309332785187962,808.0408685857258,1,22,huc_07030001_domain
28,173,05357335,46.048838,-89.984604,1575.85314941,3,SW,1574.218149,2.47,3,Hydroregion 7,POINT (465970.1963 2577026.856799999),465970.19629999995,2577026.8567999993,487.2060821835597,480.9008850621241,huc_07050002_domain,479.82169181520004,0.7528560000000001,480.32003994016804,6.30519712143564,1094.9522643478758,-5.5523411214356395,-1094.1994083478758,-1.079193246924035,1088.6470672264404,0,23,huc_07050002_domain
29,616,452804091055601,45.467745,-91.099036,1118.996094,5,GW,1111.996094,7.0,5,Hydroregion 7,POINT (383064.9134000018 2507620.8345),383064.9134000018,2507620.8345,340.84242079382483,340.61486165255866,huc_07050002_domain,338.93640945120006,2.1336,341.07000945120006,0.22755914126616972,778.3812323474415,1.9060408587338302,-776.2476323474415,-1.6784522013585956,778.1536732061752,1,23,huc_07050002_domain
