,add_gamma,add_invgauss,add_weibull_min,imp_gamma,imp_invgauss,imp_weibull_min,uni_gamma,uni_invgauss,uni_weibull_min,best,worst
OH_Three_Brothers_Creek-Grand_05,0.01091412520793953,0.014827103848884717,0.0018896721850396214,0.007931495906085478,0.17543141599715295,0.002448550145475914,0.011851874658955866,0.014827103848854321,0.015424617291203837,add_weibull_min,imp_invgauss
Oconto,0.0013784076963027979,0.0015592459815607987,0.002439204511754617,,0.0036638788119809046,0.181726248830278,0.012985744641876696,0.015264573959779235,0.014537107018034559,add_gamma,imp_weibull_min
Racoon,0.001851960955303487,0.014910731760023608,0.0014370747011870676,0.0019218652606509494,0.0021750137135154797,0.0017891180324162877,0.019858144941203873,0.023829591549320805,0.004829884657043635,add_weibull_min,uni_invgauss
SD_Willow_07,0.010301522166484717,0.046386490171395005,0.004549666890012181,0.012619807668264428,0.014560231673130248,0.005945732789521316,0.04109492437507043,0.046386490172067196,0.026726022360366967,add_weibull_min,uni_invgauss
SugarCreek,0.005546318334856682,0.02143394489349992,0.005288106023511157,0.005458703799188374,0.005772169278730988,0.005504894741171818,0.01752300478926312,0.02143394489351029,0.007956305606487418,add_weibull_min,uni_invgauss
Tomorrow,0.015112958523140999,0.01736744719082258,0.0030649173202359162,0.004684420751424578,0.005519402370789318,0.0062878448301472165,0.015112958523136946,0.01736744719072522,0.018022064528373127,add_weibull_min,uni_weibull_min
Upper_fox,0.004250199881648866,,0.0015407969773679638,0.0046817118356183,0.005463622368116151,0.0023460147048476277,0.02322231667382218,0.026359778955037584,0.008048488629079358,add_weibull_min,uni_invgauss
WI_Waumaundee_04,0.005181453463594056,,0.004256555557982405,0.005478386886609498,0.006031301165469114,0.004944055068744857,0.021432785116067766,0.024749535109241896,0.005538958394770914,add_weibull_min,uni_invgauss
Whitedam3,0.0044764762833469154,0.030075945322564263,0.003559945989477182,0.001409337475109765,0.0019029421346050776,0.004385752470602162,0.043672906446504574,0.04652035527485612,0.024178975643837933,imp_gamma,uni_invgauss
huc_07030001_domain,0.002482118868596719,0.003024451933924932,0.004484501938839682,0.08837640463246908,0.20085292793879558,0.16561297968023106,0.0047595474411250465,0.003952566293679229,0.0236412976390065,add_gamma,imp_invgauss
huc_07050002_domain,0.020841681423654654,0.024142935131027603,0.0038021455926818045,0.004151696090835797,0.005218192541089606,0.007701279693464955,0.021044441172358767,0.024142935131050373,0.01814110369311134,add_weibull_min,uni_invgauss
huc_07070001_domain,0.00527944941358393,0.003386445982122292,0.0041637725635697296,0.005736208376223229,0.005789583047134551,0.005395059409392252,0.009234159605633225,0.009277811099732714,0.022637392487364322,add_invgauss,uni_weibull_min
huc_07070003_domain,0.0048917312072062485,0.005151022621843703,0.003744056571243626,,0.005808668021484747,,0.012745953941223338,0.015304040417415139,0.016161169265107536,add_weibull_min,uni_weibull_min
huc_07080205_domain,0.005431405582701879,,0.004619350528548059,0.0056880341533434645,0.005949620339736371,0.004702791212127872,0.016563825313743598,0.020136202376010406,0.007372179280722454,add_weibull_min,uni_invgauss
huc_07090006_domain,0.014209597827937032,0.016758493114492734,0.0036092367670406355,0.00512354930192234,0.01620699936277959,0.0037536674577481515,0.01420959782789482,0.016758493114528265,0.016226160815706662,add_weibull_min,uni_invgauss
huc_07120003_domain,0.005343767034567623,0.018095946783497838,0.005783390080373185,0.005384890195636603,0.01228254653034021,0.005595303827850967,0.014745494473300425,0.018095946783489927,0.010986923868231411,add_gamma,add_invgauss
huc_07120004_domain,0.006639170783850621,0.015190552162546684,0.004476388498725074,0.006825792867003619,0.007222241780901046,0.004912565511197971,0.018556441973010596,0.02211147679202268,0.006158184768911988,add_weibull_min,uni_invgauss
