,tau_glac,tau_bed,tau_tot,rech_vol,rech_frac,Kf,Kc,Kb,vani,hydro,topo,num_active,num_active_surf,aq_vol,fKf_vol,fKc_vol,fKlake_vol,fKb_vol,drn_dens_area,model
NY_Ramapo_02,3.0324270725250244,32.84857177734375,14.806884765625,1356116.0,0.3580000102519989,14.677992676220688,31.622776601683796,0.6812920690579612,31.62277603149414,0.15368394939221036,0.15411729732025312,126436.0,31609.0,102304873720.84575,0.0996065995467491,0.04497365126913848,0.00954353297545258,0.8458762162086598,0.2636907209971843,ny_ramapo_02
NorthSkunk,17.980531692504883,29.767425537109375,43.40865707397461,1210036.0,0.8539999723434448,6.812920690579611,31.622776601683796,14.677992676220688,31.62277603149414,0.05097451274362818,0.054475608627233184,97096.0,24274.0,112295360939.6073,0.4100776593684483,0.0027165666893715053,0.00046741735394801795,0.5867383565882321,0.3394990524841394,northskunk
OH_Three_Brothers_Creek-Grand_05,8.543272972106934,50.323768615722656,30.71196937561035,597524.0,0.4410000145435333,1.4677992676220697,3.1622776601683795,1.4677992676220697,31.62277603149414,0.09216589861751152,0.08541770885442722,78724.0,19681.0,76077449578.35284,0.2506477626496185,0.02050249346814916,0.0008559114360394891,0.727993832446193,0.4052639601646258,oh_three_brothers_creek-grand_05
Oconto,27.14686393737793,334.2451171875,57.738807678222656,123997.0,0.09200000017881393,1.4677992676220697,6.812920690579611,1.4677992676220697,31.62277603149414,0.0744593484807008,0.07335206397233629,107152.0,26788.0,142855051093.65237,0.2864405547495432,0.16086386496320318,0.021979411586719608,0.530716168700534,0.20285202329401225,oconto
Racoon,26.73554039001465,918.6514282226562,64.82793426513672,53431.0,0.04100000113248825,10.0,100.0,0.1,10.0,0.10253807106598983,0.10278029405616332,126628.0,31657.0,152554258003.6212,0.3885863800592688,0.018130714089852968,0.00032367285288840264,0.5929592329979899,0.2873614050604921,racoon
SD_Willow_07,360.19342041015625,115.35935974121094,433.0566711425781,612000.0,0.6320000290870667,0.31622776601683794,1.4677992676220697,14.677992676220688,3.1622776985168457,0.11613475177304965,0.14122601567426354,182128.0,45532.0,766302874400.844,0.5357951644393061,0.2756269522157208,0.020324468026365568,0.16825341531860744,0.17253799525608363,sd_willow_07
SugarCreek,26.150264739990234,51.071685791015625,43.75350570678711,834152.0,0.3449999988079071,6.812920690579611,68.12920690579611,14.677992676220688,31.62277603149414,0.07586742620403936,0.07656474972473956,109904.0,27476.0,193377383148.46188,0.531268615735769,0.06573039267822363,0.0005780002729267565,0.4024229913130807,0.16512592808269036,sugarcreek
Tomorrow,33.3591423034668,52.07269287109375,66.06999969482422,238876.0,0.628000020980835,0.31622776601683794,3.1622776601683795,14.677992676220688,31.62277603149414,0.009888751545117428,0.009558110541626265,32112.0,8028.0,45883429684.453224,0.20399974512660377,0.2963215498550697,0.004294663100611282,0.4953840419177152,0.14150473343298456,tomorrow
Upper_fox,35.13187789916992,34.4620361328125,60.93077087402344,1924664.0,0.7490000128746033,0.1,1.0,10.0,1.0,0.0796427242277633,0.07548522422536708,172148.0,43037.0,286068650868.3284,0.3669068307667011,0.19573773267969993,0.013648046750399956,0.42370738980319894,0.1872574761251946,upper_fox
WI_Waumaundee_04,9.137374877929688,71.9998550415039,52.95342254638672,567798.0,0.609000027179718,1.4677992676220697,31.622776601683796,0.6812920690579612,3.1622776985168457,0.019281914893617018,0.019291854873961824,155308.0,38827.0,90229060640.89359,0.06787982081071212,0.05673875317631844,0.006223076438551949,0.8691583495744173,0.31197362660004635,wi_waumaundee_04
