,Kf,Kc,Kb,vani,hydro,topo,sse,p5,p10,p20,Best,diff_error,sum_error
28,1.0,10.0,1.0,10.0,0.038318912237330034,0.07230918409752043,95.58302264825055,0.03550074738415546,0.009965122072745391,0.0018684603886397607,0.0,0.0339902718601904,0.11062809633485046
29,1.0,10.0,1.0,100.0,0.022249690976514216,0.08685413492173431,87.04650078863527,0.04397110114598904,0.013079222720478326,0.002242152466367713,0.0,0.0646044439452201,0.10910382589824853
30,1.0,10.0,10.0,1.0,0.07169344870210136,0.001662280094195872,166.23094888599152,0.0004982561036372695,0.0,0.0,0.0,0.07003116860790548,0.07335572879629723
31,1.0,10.0,10.0,10.0,0.05067985166872682,0.00207785011774484,160.68160375230337,0.0004982561036372695,0.0,0.0,0.0,0.04860200155098198,0.05275770178647166
32,1.0,10.0,10.0,100.0,0.024721878862793572,0.004571270259038648,138.37579173076142,0.000996512207274539,0.00012456402590931738,0.0,0.0,0.020150608603754925,0.02929314912183222
33,1.0,10.0,100.0,1.0,0.4437577255871446,0.0,397.4313241219508,0.0,0.0,0.0,0.0,0.4437577255871446,0.4437577255871446
34,1.0,10.0,100.0,10.0,0.415327564894932,0.0,382.01641308650306,0.0,0.0,0.0,0.0,0.415327564894932,0.415327564894932
35,1.0,10.0,100.0,100.0,0.2694684796044499,0.0027704668236597867,327.2527796921961,0.0,0.0,0.0,0.0,0.26669801278079014,0.2722389464281097
36,0.1,100.0,0.1,1.0,0.26823238566131025,0.14849702174816456,223.26223750725333,0.1081215744892875,0.08345789735924265,0.06066268061783757,0.0,0.11973536391314568,0.41672940740947484
37,0.1,100.0,0.1,10.0,0.2657601977750309,0.1595788890428037,222.41744045312848,0.11671649227703039,0.08644743398106627,0.062406576980568014,0.0,0.1061813087322272,0.4253390868178346
38,0.1,100.0,0.1,100.0,0.2484548825710754,0.1894999307383294,222.15346257324762,0.148355754857997,0.11073741903338316,0.06975585450921774,0.0,0.05895495183274599,0.4379548133094048
39,0.1,100.0,1.0,1.0,0.2880098887515451,0.023826014683474166,206.03188831492426,0.011709018435475834,0.004484304932735426,0.00012456402590931738,0.0,0.2641838740680709,0.31183590343501927
40,0.1,100.0,1.0,10.0,0.27812113720642767,0.03920210555478598,198.62586719168598,0.017438963627304436,0.0064773293472845045,0.00012456402590931738,0.0,0.2389190316516417,0.31732324276121365
41,0.1,100.0,1.0,100.0,0.24598269468479605,0.12397839035877545,170.7242327952064,0.08432984554060788,0.042227204783258594,0.007722969606377678,0.0,0.12200430432602061,0.3699610850435715
42,0.1,100.0,10.0,1.0,0.30407911001236093,0.0,272.0804719645664,0.0,0.0,0.0,0.0,0.30407911001236093,0.30407911001236093
43,0.1,100.0,10.0,10.0,0.29171817058096416,0.00207785011774484,262.59134809514546,0.0,0.0,0.0,0.0,0.2896403204632193,0.293796020698709
44,0.1,100.0,10.0,100.0,0.2546353522867738,0.053331486355450895,201.0829194727418,0.023044344793223717,0.005356253114100647,0.0,0.0,0.2013038659313229,0.3079668386422247
45,0.1,100.0,100.0,1.0,0.5179233621755254,0.0,440.28954190048046,0.0,0.0,0.0,0.0,0.5179233621755254,0.5179233621755254
46,0.1,100.0,100.0,10.0,0.5043263288009888,0.004017176894306691,431.9371890951792,0.001245640259093174,0.0,0.0,0.0,0.5003091519066821,0.5083435056952955
47,0.1,100.0,100.0,100.0,0.4437577255871446,0.036016068707577224,355.079422094008,0.016567015445939214,0.004484304932735426,0.0,0.0,0.40774165687956737,0.47977379429472183
48,1.0,100.0,0.1,1.0,0.2867737948084054,0.014960520847762847,203.95478378731207,0.006975585450921774,0.0007473841554559044,0.0,0.0,0.2718132739606426,0.30173431565616826
49,1.0,100.0,0.1,10.0,0.28553770086526575,0.015514614212494806,203.04225853989888,0.007100149476831091,0.0007473841554559044,0.0,0.0,0.27002308665277097,0.30105231507776054
50,1.0,100.0,0.1,100.0,0.26823238566131025,0.016068707577226764,197.4763287597632,0.007598405580468361,0.0008719481813652218,0.0,0.0,0.25216367808408346,0.28430109323853703
51,1.0,100.0,1.0,1.0,0.2867737948084054,0.000831140047097936,220.69337709882276,0.00024912805181863477,0.0,0.0,0.0,0.2859426547613075,0.28760493485550337
53,1.0,100.0,1.0,100.0,0.2669962917181706,0.0023548968001108187,210.45508959808816,0.00024912805181863477,0.0,0.0,0.0,0.26464139491805977,0.2693511885182814
54,1.0,100.0,10.0,1.0,0.30778739184178,0.0,276.49545859558987,0.0,0.0,0.0,0.0,0.30778739184178,0.30778739184178
55,1.0,100.0,10.0,10.0,0.3016069221260816,0.0,274.10473503207163,0.0,0.0,0.0,0.0,0.3016069221260816,0.3016069221260816
