,Kf,Kc,Kb,vani,hydro,topo,sse,p5,p10,p20,Best,diff_error,sum_error
59,1.0,100.0,100.0,100.0,0.5704900082124281,0.03617894964339745,475.04794045640136,0.013513513513513514,0.0009332536956846349,0.0,0.0,0.5343110585690307,0.6066689578558255
60,10.0,100.0,0.1,1.0,0.3049548316452231,0.026410200994164686,144.30799904111367,0.007391369269822309,0.0,0.0,0.0,0.2785446306510584,0.33136503263938777
61,10.0,100.0,0.1,10.0,0.25732274842595126,0.03068943159714718,114.07110007066153,0.009220546513364193,0.0006719426608929372,0.0,0.0,0.22663331682880408,0.2880121800230984
62,10.0,100.0,0.1,100.0,0.2942786750615932,0.03047330883942079,140.00264782637453,0.00933253695684635,0.000559952217410781,0.0,0.0,0.26380536622217243,0.324751983901014
63,10.0,100.0,1.0,1.0,0.31727347385710375,0.020056191917008862,164.52765235832527,0.0051888905480065705,0.0,0.0,0.0,0.2972172819400949,0.3373296657741126
64,10.0,100.0,1.0,10.0,0.315630988228853,0.020401988329371082,163.66265048473204,0.0051888905480065705,0.0,0.0,0.0,0.2952289998994819,0.33603297655822406
65,10.0,100.0,1.0,100.0,0.302491103202847,0.022303868597363302,158.36460799834444,0.005263550843661341,0.0,0.0,0.0,0.28018723460548367,0.32479497180021033
66,10.0,100.0,10.0,1.0,0.38379414180125926,0.010892586989409985,214.54354067796598,0.005935493504554278,0.0,0.0,0.0,0.3729015548118493,0.39468672879066924
67,10.0,100.0,10.0,10.0,0.3807829181494662,0.011324832504862763,213.2917154555601,0.006010153800209049,0.0,0.0,0.0,0.3694580856446034,0.39210775065432896
68,10.0,100.0,10.0,100.0,0.36572679989050094,0.01326993732440026,206.39304642201145,0.005935493504554278,0.0,0.0,0.0,0.3524568625661007,0.3789967372149012
69,10.0,100.0,100.0,1.0,0.6635641938133041,0.012751242705856926,522.0806740008804,0.00955651784381066,0.0017171868000597282,0.0,0.0,0.6508129511074472,0.676315436519161
70,10.0,100.0,100.0,10.0,0.6550780180673419,0.01344283553058137,518.9742806166045,0.009929819322084515,0.0016425265044049575,0.0,0.0,0.6416351825367606,0.6685208535979232
71,10.0,100.0,100.0,100.0,0.5080755543388995,0.020185865571644694,339.8289243385997,0.013737494400477826,0.002463789756607436,3.7330147827385393e-05,0.0,0.4878896887672548,0.5282614199105442
72,0.31622776601683794,3.1622776601683795,0.31622776601683794,3.1622776601683795,0.05502326854640022,0.2529500756429652,62.58018163372785,0.1336792593698671,0.06420785426310288,0.02407794534866358,0.0,0.19792680709656496,0.3079733441893654
73,0.31622776601683794,3.1622776601683795,0.31622776601683794,31.622776601683793,0.05228579249931563,0.30741301059001513,59.316887832265074,0.1689562490667463,0.07962520531581305,0.026803046140062715,0.0,0.2551272180906995,0.3596988030893308
74,0.31622776601683794,3.1622776601683795,0.6812920690579612,3.1622776601683795,0.058581987407610184,0.17505943375837477,71.53109438741022,0.08171569359414663,0.03781543974914141,0.01758249962669852,0.0,0.11647744635076458,0.23364142116598496
75,0.31622776601683794,3.1622776601683795,0.6812920690579612,31.622776601683793,0.053928278127566384,0.24292197968446078,64.40158384740938,0.11766462595191877,0.049910407645214275,0.02053158130506197,0.0,0.18899370155689438,0.2968502578120272
76,0.31622776601683794,3.1622776601683795,1.4677992676220695,3.1622776601683795,0.06487818231590474,0.10538145666738707,91.30414081504037,0.04614006271464835,0.026205763774824548,0.008175302374197401,0.0,0.040503274351482335,0.17025963898329183
77,0.31622776601683794,3.1622776601683795,1.4677992676220695,31.622776601683793,0.05803449219819327,0.1753620056191917,79.14993083721868,0.07197252501119905,0.033111841122890846,0.012990891443930118,0.0,0.11732751342099845,0.23339649781738497
